Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Євдокименко,Олег,Петрович,Чоловіча,2001-11-29,Євнух,хутір Довжанськ,"узвіз Магістральна, буд. 165 кв. 8, Сторожинець, 41500",007 831-58-00,klavdiiaartiushenko@example.net
Прокопович,Едита,Дмитрівна,Жіноча,1980-10-28,Мірошник,місто Бердичів,"парк Амурський 2-й, буд. 117, Новомосковськ, 68004",024 856-04-81,leoniddziuba@example.org
Стець,Алла,Федорівна,Жіноча,1989-02-15,Психолог,село Антрацит ,"сквер Теліги Олени, буд. 035 кв. 1, Горлівка, 21430",288-50-42,komaramaliia@example.org
Венгринович,Святослав,Іванович,Чоловіча,1945-04-29,Доцент,село Пирятин,"вулиця Новгородський 2-й, буд. 913 кв. 256, Тетіїв, 32817",588-99-29,ada07@example.org
Шаповал,Володимир,Федорович,Чоловіча,1949-01-16,Бізнесмен,селище Новогродівка,"узвіз Кропивницького, буд. 712, Дружківка, 47833",+380 48 923-66-85,liza51@example.com
Іщенко,Вʼячеслав,Юрійович,Чоловіча,1948-01-10,Футболіст,селище Білозерське,"парк ім. С.Ю. Вітте, буд. 36, Олександрівськ, 14990",017 913-57-94,iakivaleksiuk@example.org
Лукаш,Омелян,Вікторович,Чоловіча,1974-08-25,Мінералог,селище Костопіль,"набережна Кісельова Ігоря, буд. 3, Кагарлик, 77256",005 361 08 42,vashchukserhii@example.com
Зінкевич,Орина,Володимирівна,Жіноча,1984-02-25,Мистецтвознавець,селище Жовква,"парк Деволанівська, буд. 69, Золочів, 62571",+380 89 402 28 86,olesverkhola@example.org
Оробець,Назар,Андрійович,Чоловіча,1995-03-26,Музикознавець,місто Тульчин,"узвіз Канатний, буд. 247 кв. 72, Миколаїв, 93444",426 76 21,tpavlenko@example.org
Чубай,Ольга,Миколаївна,Жіноча,1964-02-19,Диригент,місто Глиняни,"набережна Радіальний, буд. 91 кв. 08, Тлумач, 76382",067 933 70 73,semensvystun@example.org
Дрозд,Едуард,Васильович,Чоловіча,1985-02-25,Фольклорист,село Суходільськ,"набережна Хімічний 1-й, буд. 3, Суми, 59701",+380 (12) 545-41-21,feofantychyna@example.com
Гуцуляк,Данна,Леонідівна,Жіноча,1962-10-15,Археолог,село Олевськ,"проспект Нікітіна, буд. 71 кв. 5, Алмазна, 33656",088 586 61 82,ievtushenkoleopold@example.com
Савенко,Дарина,Володимирівна,Жіноча,1946-08-09,Інженер,село Козятин,"площа 2-га Суворовська, буд. 353 кв. 6, Березне, 79288",080 063-78-73,bohuslava97@example.org
Лукаш,Панас,Леонідович,Чоловіча,1960-12-20,Музикант,село Селидове,"парк Художника Федорова, буд. 49 кв. 65, Любомль, 09342",+380 74 358-80-99,androshchukhanna@example.com
Джус,Святослав,Васильович,Чоловіча,1993-09-02,Правник,місто Нове Давидково,"сквер Героїв Крут, буд. 39, Ковель, 77204",+380 95 765 75 25,hordii76@example.org
Запорожець,Розалія,Миколаївна,Жіноча,1990-05-11,Стропальник,місто Славутич,"провулок Кримська, буд. 5, Географія Вільнянська, 58467",999 24 48,borys95@example.org
Петрик,Пантелеймон,Романович,Чоловіча,1967-03-14,Біолог,селище Прип'ять ,"шосе Східний 1-й, буд. 653 кв. 0, Кремінна, 49531",+380 (75) 159-52-27,havrylivstanislav@example.net
Таран,Артем,Леонідович,Чоловіча,1973-10-25,Детектив,місто Сторожинець,"сквер Госпітальний, буд. 216 кв. 73, Південне , 22831",093 298 26 32,ntsymbaliuk@example.com
Барабаш,Мирон,Іванович,Чоловіча,1944-04-22,Професор,село Костянтинівка,"вулиця Лугова, буд. 697, Умань, 50169",+380 (27) 244-71-60,fesenkoprokhir@example.org
Цибуленко,Веніямин,Васильович,Чоловіча,1960-05-07,Кіноактор,хутір Барвінкове,"сквер Морський, буд. 8, Березань , 48394",252 79 59,klavdiia52@example.net
Дейнека,Борис,Юрійович,Чоловіча,1958-01-28,Різноробочий,селище Славута,"вулиця Березова, буд. 5 кв. 700, Дубно, 84396",+380 32 499 26 27,eduard06@example.com
Микитюк,Мирон,Володимирович,Чоловіча,1960-09-29,Слідчий,село Бурштин ,"шосе Яблунева, буд. 34, Лубни, 97666",050 366-33-47,stefanstus@example.net
Скирда,Тарас,Павлович,Чоловіча,1939-02-22,Літературознавець,селище Звенигородка,"сквер Горіхова, буд. 631 кв. 2, Сторожинець, 84134",352 49 90,jiermolenko@example.net
Теличенко,Варфоломій,Богданович,Чоловіча,1987-11-12,Мінералог,село Олешки,"сквер Данькевича, буд. 59 кв. 587, Бровари, 33870",+380 89 499-54-94,havrylyshynbohuslava@example.org
Христенко,Богуслава,Леонідівна,Жіноча,2006-09-17,Маркетолог,місто Знам'янка,"сквер Високий, буд. 25, Кипуче, 50556",598-84-56,tymchenkobohodar@example.com
Забашта,Олег,Євгенович,Чоловіча,1958-06-23,Парфюмер,хутір Васильків,"узвіз Демократична, буд. 32 кв. 366, Горохів, 77862",468-45-59,leopold77@example.net
Їжакевич,Єфрем,Романович,Чоловіча,1974-04-22,Намотувальник,село Красилів,"шосе Скрипковий, буд. 28 кв. 10, Барвінкове, 44733",832 48 23,arkadiiovcharenko@example.org
Ляшко,Болеслав,Миколайович,Чоловіча,1951-03-02,Мінералог,місто Кадіївка,"парк Короткий, буд. 111, Шаргород, 61193",001 128-65-07,trokhym08@example.com
Юрчук,Кирило,Іванович,Чоловіча,1940-09-30,Нотаріус,місто Ірпінь,"шосе Молокова, буд. 286 кв. 47, Верхньодніпровськ, 10592",+380 (84) 495-93-83,tbabiak@example.org
Фесенко,Єфрем,Григорович,Чоловіча,1978-09-01,Різноробочий,селище Баранівка,"набережна Пугачова, буд. 52, Вільногірськ, 93064",055 497 36 48,petrykpriska@example.net
Щербак,Зорян,Олександрович,Чоловіча,1995-12-03,Євнух,селище Умань,"сквер Болгарська, буд. 46 кв. 36, Синельникове, 24499",+380 43 071-66-29,wlevchenko@example.com
Ємець,Ярина,Петрівна,Жіноча,1960-05-30,Дизайнер,село Охтирка,"узвіз Зелена, буд. 14 кв. 973, Сновськ, 97863",036 918 55 09,serhiitytarenko@example.net
Данченко,Сергій,Павлович,Чоловіча,1950-01-27,Філолог,місто Ізюм,"провулок Хімічний 1-й, буд. 2 кв. 511, Молодогвардійськ, 08923",549 19 69,baranetsdaryna@example.net
Артимович,Данило,Ярославович,Чоловіча,1941-08-04,Публіцист,місто Прилуки,"провулок Святослава Ріхтера, буд. 74 кв. 3, Тисмениця, 16274",+380 22 072 13 10,vivcharenkoiryna@example.org
Цюцюра,Борис,Іванович,Чоловіча,1992-09-23,Астронавт,село Старий Самбір,"площа Композитора Глинки, буд. 240, Ясинувата, 76160",015 957-21-42,ntsushko@example.com
Джунь,Мартин,Петрович,Чоловіча,1960-01-24,Піаніст,хутір Мирноград,"шосе Дмитрія Донського, буд. 4, Голубівка, 37799",407-58-94,riabovilleontii@example.org
Артимишин,Володимира,Володимирівна,Жіноча,1950-01-31,Пілот,село Приморськ (Україна),"вулиця Чорноморський 1-й, буд. 308, Докучаєвськ, 79454",205-54-66,lshcherbak@example.org
Ємельяненко,Аніта,Вікторівна,Жіноча,1999-05-04,Музичний редактор,селище Судова Вишня,"сквер Вчительської, 2-й, буд. 272 кв. 509, Хирів, 44930",+380 62 453-88-78,olenasych@example.com
Дзюба,Оксана,Федорівна,Жіноча,1940-01-04,Інженер,селище Могилів-Подільський,"площа Локомотивний 4-й, буд. 7 кв. 66, Докучаєвськ, 92653",003 083 90 90,jvermenych@example.net
Теліженко,Арсен,Іванович,Чоловіча,2005-09-07,Гірник,село Шепетівка,"парк Романтичний, буд. 83, Роздільна, 87178",+380 36 252-35-77,vieromenko@example.org
Закусило,Ірена,Павлівна,Жіноча,1969-10-21,Акушер,село Миколаїв,"сквер Бучми, буд. 17 кв. 9, Ровеньки, 80471",011 256 00 18,dmytroavdieienko@example.org
Іщенко,Болеслав,Богданович,Чоловіча,1962-10-28,Няня,місто Нове Давидково,"проспект Спартаківський, буд. 002 кв. 00, Глиняни, 60324",+380 40 434 82 84,violettabebeshko@example.org
Шеремет,Емілія,Володимирівна,Жіноча,1952-02-20,Модель,місто Березань ,"шосе Місячна, буд. 225, Горішні Плавні, 31557",437-11-57,iaremenkoanzhela@example.org
Верховинець,Давид,Петрович,Чоловіча,1983-06-13,Агроном,хутір Васильків,"узвіз Юхима Фесенка, буд. 6 кв. 335, Армянськ, 89438",853-99-92,zhaivoronazar@example.net
Симоненко,Ярослава,Сергіївна,Жіноча,1945-08-14,Фармацевт,хутір Ізмаїл,"набережна Мечникова, буд. 7, Березань , 89431",093 967-02-21,leontiibandurka@example.net
Бездітко,Софія,Юріївна,Жіноча,1940-06-17,Музикознавець,селище Тернопіль,"площа Василя Кандинського 1-й, буд. 457 кв. 86, Путивль, 86601",084 145-86-95,cskopenko@example.net
Джус,Пилип,Іванович,Чоловіча,1983-10-16,Психолог,селище Чигирин,"сквер Лінійна, буд. 1, Кривий Ріг, 11850",+380 94 685-14-91,amvrosii27@example.org
Масоха,Роман,Андрійович,Чоловіча,2002-02-12,Диригент,хутір Переяслав,"узвіз Дача Ковалевського, буд. 9, Балаклія, 02162",+380 94 564-18-43,mariia97@example.net
Алексюк,Анастасія,Романівна,Жіноча,1990-02-13,Льотчик,місто Овруч,"площа Чорноморський, буд. 29 кв. 639, Підгайці, 15422",+380 07 980-86-75,mykytiukeduard@example.com
Карпенко,Тереза,Андріївна,Жіноча,1985-05-07,Етнограф,село Жданівка,"площа Лідерсівський, буд. 5, Бершадь, 70534",+380 37 781-96-78,iushchenkoiukhym@example.net
Василашко,Данило,Миколайович,Чоловіча,1960-02-23,Маркетолог,хутір Кодима,"шосе Совіньйонівський, буд. 815, Суми, 38229",072 274 32 47,ovsiienkoeduard@example.org
Данильчук,Юстина,Юріївна,Жіноча,1950-07-12,Мірошник,хутір Луганськ,"сквер Тролейбусна, буд. 580, Моспине, 25049",+380 (11) 070-89-92,tarasandriichuk@example.org
Власюк,Ростислав,Павлович,Чоловіча,1947-10-24,Історик,село Кодима,"проспект Ватманський, буд. 40 кв. 630, Рені, 78576",+380 82 852-35-14,mykolaishvachka@example.org
Балабан,Микита,Романович,Чоловіча,1944-07-18,Актор,село Голубівка,"парк 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 60 кв. 9, Почаїв, 02846",114 71 99,volodymyra32@example.net
Асаула,Єлисей,Дмитрович,Чоловіча,1939-04-23,Фотограф,селище Донецьк,"узвіз Морехідна, буд. 9 кв. 031, Лозова , 06210",035 216 44 56,artemenkoieva@example.org
Цимбалюк,Мирослав,Федорович,Чоловіча,1973-02-02,Футболіст,село Белз,"вулиця Катерининська, буд. 853, Білозерське, 18816",002 187 16 93,sychliubov@example.org
Бабій,Зиновій,Петрович,Чоловіча,1948-07-08,Дерун,місто Бровари,"шосе Преображенська, буд. 0, Соледар, 20808",+380 77 735 00 13,laverchenko@example.net
Самойленко,Камілла,Віталіївна,Жіноча,1965-10-05,Модельєр,село Корець,"вулиця Курортний 6-й, буд. 9 кв. 48, Березівка, 86850",+380 93 137 17 69,iatseniukroksolana@example.org
Яценюк,Тереза,Євгенівна,Жіноча,2003-06-22,Інженер,місто Кипуче,"сквер Тупиковий 1-й, буд. 6 кв. 2, Заліщики, 26521",289 85 05,spas66@example.net
Іваненко,Ярема,Олександрович,Чоловіча,1990-01-16,Етнограф,село Верхівцеве,"шосе Політкаторжан, буд. 333, Снігурівка, 66119",830-71-43,adamoliinyk@example.com
Яремчук,Леонід,Григорович,Чоловіча,1950-09-03,Каскадер,селище Покров,"вулиця Закарпатська, буд. 27 кв. 018, Білогірськ, 73436",+380 11 442-20-57,heorhii22@example.net
Юхименко,Зиновій,Юрійович,Чоловіча,2008-01-07,Сантехнік,місто Зеленодольськ,"узвіз Сімферопольська, буд. 380 кв. 58, Старобільськ, 36773",+380 32 216-44-91,okhrim25@example.net
Остапчук,Сніжана,Іванівна,Жіноча,1948-11-24,Фермер,хутір Покров,"набережна Мінська, буд. 88 кв. 112, Берислав, 33139",522 15 10,lstus@example.org
Забашта,Віталій,Павлович,Чоловіча,1940-06-30,Акушер,селище Вінниця,"сквер Лиманчик 2-й Лінія 5-та, буд. 1, Устилуг, 20078",095 238-90-66,fatamanchuk@example.net
Давиденко,Остап,Андрійович,Чоловіча,2007-06-07,Державний службовець,село Ржищів,"вулиця Новікова 2-га, буд. 0 кв. 41, Ясинувата, 65904",+380 (86) 202-89-74,leonidbashtan@example.com
Мамчур,Тетяна,Олександрівна,Жіноча,1983-07-23,Реабілітолог,село Могилів-Подільський,"сквер Чорноморка, буд. 83, Новодністровськ, 37782",+380 70 633 79 56,xshmorhun@example.net
Рубець,Борислав,Вікторович,Чоловіча,1959-10-17,Публіцист,селище Ямпіль,"сквер Комітетська, буд. 467 кв. 077, Новодністровськ, 01142",+380 (11) 690-89-98,rdrobiazko@example.net
Забашта,Оксана,Віталіївна,Жіноча,1964-09-12,Дизайнер,село Зимогір'я,"проспект Крилова, буд. 18 кв. 809, Харцизьк, 45668",+380 42 778-69-15,pfranchuk@example.com
Бандура,Ярема,Юрійович,Чоловіча,1939-01-05,Головний меркшейдер,селище Житомир,"узвіз Нафтовиків 2-й, буд. 2, Ямпіль, 60490",+380 28 128-20-31,ivan42@example.org
Гуцуляк,Надія,Володимирівна,Жіноча,2005-12-14,Футболіст,хутір Яремче,"парк Чорноморський 13-й, буд. 665 кв. 191, Лубни, 99267",+380 95 453-74-20,adamsvyrydenko@example.org
Чміль,Вʼячеслав,Павлович,Чоловіча,2004-07-24,Юрист,хутір Старобільськ,"сквер Данькевича, буд. 29 кв. 691, Чуднів, 81584",+380 82 293-49-99,huzodarka@example.com
Павличенко,Анастасія,Андріївна,Жіноча,1968-12-25,Актор,місто Носівка,"проспект Соляний 2-й, буд. 3 кв. 8, Тернівка , 38025",+380 (34) 968-61-62,valentynakhudobiak@example.net
Павлик,Ростислав,Григорович,Чоловіча,1949-11-03,Паралегал,хутір Дружківка,"шосе Шостої 1-й, буд. 504 кв. 2, Новодружеськ, 54083",065 573 70 90,iaremkivpylyp@example.net
Іщенко,Адам,Дмитрович,Чоловіча,1949-03-28,Письменник,хутір Дубляни,"сквер Лиманчик 2-й Лінія 8-ма, буд. 94, Славутич, 44242",048 137-16-58,verkhovynetsorkhyp@example.org
Лесик,Орест,Віталійович,Чоловіча,1952-07-03,Мінералог,місто Південне ,"площа Урожайна, буд. 4 кв. 946, Фастів, 10909",+380 69 419-38-94,kabanenkoherman@example.net
Шевченко,Сніжана,Володимирівна,Жіноча,2006-12-03,Складальник,хутір Тернопіль,"набережна Горбатий міст, буд. 2, Кам'янець-Подільський, 63788",044 170-16-32,jkalenychenko@example.net
Артимович,Панас,Павлович,Чоловіча,1979-07-02,Акушер,місто Старокостянтинів,"шосе Пересипська 9-та, буд. 587 кв. 7, Каховка, 31615",452-92-96,leopoldtverdokhlib@example.net
Мамчур,Володимира,Юріївна,Жіноча,1988-12-07,Економіст,місто Кремінна,"шосе 1-ша Суворовська, буд. 8 кв. 63, Новодністровськ, 11878",+380 (77) 077-31-97,irvanetshanna@example.org
Уманець,Августин,Григорович,Чоловіча,1981-12-20,Дантист,місто Бібрка,"узвіз 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 46, Барвінкове, 01644",070 767 66 99,amvrosiihavrylyshyn@example.com
Ватаманюк,Віктор,Вікторович,Чоловіча,1959-08-31,М'ясник,селище Чернівці,"парк Обільний 1-й, буд. 167, Новоукраїнка, 28214",+380 41 759-52-46,leontiihres@example.org
Жарко,Дарина,Богданівна,Жіноча,1953-12-17,Літературознавець,хутір Шепетівка,"сквер Пантелеймонівська, буд. 7, Вінниця, 65382",+380 84 593-73-75,albinamykhailychenko@example.com
Артимишин,Миколай,Олександрович,Чоловіча,1954-12-16,Підприємець,село Кременець,"провулок Гастелло, буд. 45 кв. 4, Великі Мости, 98094",+380 27 488-75-10,volodymyr44@example.net
